Parcel / Reference ,COA #,Legal Description,Address,Code,Taxes Owed for Sale 337
071318 / SHAV00004  10,518,"Lots 15, 16 and 17, Block 11, SPLITLOG PARK, in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 362 South Boeke Street),( V ),Taxes from 2006 thru 2015= $735.63
092870 / SHAV00004  10,519,"Lot 16 and the East 5 feet of Lot 17, Block 3, FOREST GROVE, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 929 Splitlog Avenue),( V ),"Taxes from 1992 thru 2015= $1,277.40"
913106 / SHAV00004  10,520,"Commencing at a point 660 feet South and 174 feet West of the center of Section 31, Township 10, Range 25, in Kansas City, Wyandotte County, Kansas; thence West 161 feet, thence North 53 feet, thence East 161 feet, thence South 53 feet to the point of beginning, less the West 25 feet for road purposes.",(Approx .Add. 2501 North 35th Street),( I ),"Taxes from 2010 thru 2015= $1,812.79"
928645 / SHAV00004  10,522,"Beginning at a point 220 feet South and 285 feet East of the Northwest corner of the East 1/2 of the Southwest 1/4 of the Southeast 1/4 of Section 32, Township 10, Range 24, Kansas City, Wyandotte County, Kansas; thence East 175 feet; thence South 210 fee",(Approx .Add. 2215 North 77th Terrace),( V ),Taxes from 2012 thru 2015= $722.20
069162 / GARC00226  10,523,"Lot 15, BLock 2, FERREE PLACE, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 25 North Ferree Street),( I ),"Taxes from 2009 thru 2015= $1,223.27"
069163 / GARC00226  10,524,"Lot 14, BLock 2, FERREE PLACE, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 27 North Ferree Street),( I ),"Taxes from 2009 thru 2015= $1,318.28"
158516 / COTT00013  10,526,"Lots 8 and 9, Block 5, ELMGROVE PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3034 Hiawatha Street),( V ),"Taxes from 1985 thru 2014= $13,200.67"
156915 / HARR00110  10,529,"The East 35 feet of Lot 24, Block 7, WESTERN HIGHLANDS, Resurvey of Blocks 7 and 14, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1131 Georgia Avenue),( I ),"Taxes from 2012 thru 2015= $2,046.48"
156916 / HARR00110  10,530,"The East 20 feet of Lot 23 and the West 15 feet of Lot 24, Block 7, Resurvey of Blocks 7 and 14, in WESTERN HIGHLANDS, in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1133 Georgia Avenue),( V ),Taxes from 2011 thru 2015= $324.69
056985 / CAMA00019  10,542,"Lots 1 and 2, Block 6, GRANDVIEW ANNEX, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 256 North 30th Street),( I ),"Taxes from 2012 thru 2015= $2,290.04"
063571 / SAND00112  10,544,"The East 1/2 of Lot 28, WOODLAND PARK, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3208 Everett Avenue),( I ),"Taxes from 2012 thru 2015= $3,187.66"
063655 / SECU00009  10,545,"The North � of Lot 48, WOODLAND PARK, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1121 North 34th Street),( I ),"Taxes from 2008 thru 2015= $2,787.14"
063883 / GRAV00020  10,547,"The South half of Lot 217 and all of Lot 218, in BEVERLY, a subdivsion of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1421 North 38th Street),( C/I ),"Taxes from 2008 thru 2010= $3,449.90"
064045 / HILL00080  10,549,"The South 7 feet of the East 26 feet of Lot 21 and the South 75 feet of Lot 22, in WEST RIDGE, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1524 North 34th Street),( I ),"Taxes from 2012 thru 2014= $3,967.16"
064656 / GRIS00013  10,550,"Lots 67 and 68, DEBUS HEIGHTS, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1872 North 38th Street),( I ),"Taxes from 2009 thru 2015= $3,852.12"
065446 / KLIC00002  10,553,"Lot 15, Block 2, WESTHEIGHT MANOR, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1915 Nebraska Avenue),( I ),"Taxes from 2013 thru 2015= $3,207.82"
065501 / MORG00027  10,554,"Lot 1, Block 1, WESTHEIGHT MANOR, an addition in and a part of Kansas City, Wyandotte County, Kansas, except: Beginning at the Southeast corner of Lot 1, Block 1, WESTHEIGHT MANOR, thence North along the East line of said Lot 1, 16.17 feet, thence Southwesterly 16.12 feet to a point on the North line of State Avenue, 1.55 feet Northwest of the point of beginning, measured on the North line of State Avenue, thence Southeasterly 1.55 feet along the North line of State Avenue to the point of beginning.",(Approx .Add. 2130 State Avenue),( I ),"Taxes from 2010 thru 2015= $2,078.95"
037306 / BRAD00034  10,561,"Lot 4, Block 6, WILLIAM E CARSON ADDITION, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 5744 Georgia Avenue),( I ),"Taxes from 2013 thru 2015= $4,997.85"
920419 / BRAD00034  10,562,"A portion of the Southwest quarter of the Northwest quarter of Section 35, Township 10, Range 24, in Kansas City, Wyandotte County, Kansas, described as follows:  Commencing at the Southwest corner of said Southwest Quarter of the Northwest Quarter; thence N 0� 06'17"" W along the West line of said Northwest Quarter for 661.42 feet to the North line of the South half of said Southwest Quarter of the Northwest Quarter; thence N 89� 56'48: E along said North line for 579.43 feet to the point of geginning; thence continue N 89� 56'48"" E along said North line for 80 feet; thence S 0� 9'00"" E for 380.76 feet to the Northeast corner of Lot 4, Block 6, WILLIAM E. CARSON ADDITION, a subdivision of record; thence S 89� 51'00"" W along the North line of said lot for 80 feet to the Northwest corner of said Lot 4; thence N 0� 9'00"" W for 380.89 feet to the point of beginning.  Subject to the right of way of Yecker Avenue. Containing .70 acres more or less.",(Approx .Add. 5731 Yecker Avenue),( V ),"Taxes from 2011 thru 2015= $1,964.35"
008624 / ORRM00001  10,570,"Lot 25, WESTRIDGE HEIGHTS, lots 1-25, a subdivision of land in Kansas City, Wyandotte County, Kansas.

Less and except the following described tract of land:

A tract of land in the Northeast 1/4 of Section 8, Township 11 South, Range 24 East in Kansas City, Wyandotte County, Kansas, being more particularly described as follows:

Beginning at the Southeast corner of Lot 25, WESTRIDGE HEIGHTS, lots 1-25, a subdivision of land in Kansas City, Wyandotte County, Kansas, said point being North 00�, 27 minutes, 09 seconds East, 2,016.54 feet and North 89�, 34 minutes, 51 seconds West, 40.00 feet of the Southeast corner of the Northeast 1/4 of said Section 8; thence along the South line of said Lot 25 North 74�, 32 minutes, 51 seconds West, 10.35 feet; thence North 00�, 27 minutes, 09 seconds East parallel with the existing West right of way line of 78th street, 152.31 feet to a point on the North line of said Lot 25; thence along said North line South 89�, 34 minutes, 51 seconds East, 10.00 feet to a point on said West right of way line; thence along said West right of way line South 00�, 27 minutes, 09 seconds West, 155.00 feet to the point of beginning.
",(Approx .Add. 926 North 78th Street),( V ),"Taxes from 2001 thru 2015= $7,264.01"
072170 / MART00218  80,576,"The East 1/2 of Lot 28 and all of Lot 29, in Block 129, ARMOURDALE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1244 Kansas Avenue),( C/I ),"Taxes from 2007 thru 2015= $7,879.03"
072186 / MART00218  80,577,"Lot 25, Block 129, ARMOURDALE, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1249 Scott Avenue),( V ),"Taxes from 2009 thru 2015= $1,531.99"
072187 / MART00218  80,578,"Lot 26, Block 129, ARMOURDALE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1248 Kansas Avenue),( C/I ),"Taxes from 2007 thru 2015= $7,087.43"
119011 / ANDA00004  10,582,"Lot 3, Block B, HAMMERSLOUGH'S FIRST ADDITION TO WYANDOTTE CITY, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 742 Ohio Avenue),( V ),Taxes from 2013 thru 2015= $320.27
158310 / ANDA00004  10,583,"All of Lot 65, and that part of Lot 66, Block 1, LONGWOOD, an addition in Kansas City, Wyandotte County, Kansas, described as follows: Beginning at the Southwest corner of Lot 66, thence North along the West line of said Lot 22 1/2 feet, thence in a SouthEasterly direction to a point in the East line of said Lot 66, said point being 8 1/2 feet North of the Southeast corner thereof, thence South 8 1/2 feet to the Southeast corner of said Lot, thence West 115 feet to the place of beginning, less the West 5 feet of all above described property.",(Approx .Add. 2641 North 18th Street),( V ),Taxes from 2009 thru 2015= $399.57
069142 / RECE00004  10,584,"The North 9 feet of Lot 46 and the South 22.5 feet of Lot 47, Block 2, FERREE PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 28 North Boeke Street),( I ),"Taxes from 2011 thru 2014= $1,211.72"
195718 / RECE00004  10,585,"Lots 48 and 49, RESURVEY OF BLOCK 5, KENSINGTON, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1957 North 29th Street),( I ),Taxes from 2011 thru 2015= $968.95
196020 / RECE00002  10,586,"The North 15 feet of Lot 48, all of Lot 49, and the South 10 feet of Lot 50, Block 7, in RESURVEY OF PART OF BLOCK 7, KENSINGTON, an addition of Kansas City, Wyandotte County, Kansas and the West 1/2 of the vacated alley adjacent thereto on the Eastside thereof.",(Approx .Add. 1965 North 31st Street),( I ),"Taxes from 2010 thru 2014= $1,887.23"
070089 / MEND00110  10,589,"The North 80 feet of the West 30 feet of Lot 18, Block 5, WALLACE PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1119 Pacific Avenue),( I ),"Taxes from 2013 thru 2015= $1,964.41"
082096 / MEND00110,590,"Lot 39 and the East 7 1/2 feet of Lot 38, Block 135, WYANDOTTE CITY, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 430 Ann Avenue),( I ),"Taxes from 2013 thru 2015= $2,870.62"
069165 / LOPE00080  10,592,"Lot 12, Block 2, FERREE PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 31 North Ferree Street),( I ),Taxes from 2012 thru 2015= $886.06
941203 / KNIG00037  60,593,"Beginning at the Northeast corner of the North 1/2 of the North 1/2 of West 1/2 of the Southwest quarter of SECTION 24, TOWNSHIP 10, RANGE 23 East, In Wyandotte County, Kansas City, Kansas, thence West 660 feet, thence South 198 feet, thence East 660 feet, thence North 198 feet to the point of beginning, except the North 20 feet thereof.",(Approx .Add. 4248 North 97th Street),( I ),"Taxes from 2013 thru 2015= $10,260.55"
941211 / KING00037  60,594,"Beginning at a point 20 feet South of the Northwest corner of the Southwest quarter of Section 24, Township 10, Range 23 East, Wyandotte County, Kansas, thence East 660 feet, thence South 178 feet, thence East 660 feet, thence South 127 feet, thence West 239 feet, thence South 46 feet, thence West 1,081 feet, thence North 351 feet to the point of beginning.",(Approx .Add. 4242 North 97th Street),( AFI ),Taxes from 2008 thru 2015= $506.27
931014 / SHAF00021  10,596,"Beginning at a point 729.6 feet North of the Southwest Corner of the Northeast  1/4 of Section 5, Township 11. Range 24 East, in Kansas City, Wyandotte County, Kansas; thence East 217.8 feet; thence North 100 feet; thence West 217.8 feet: thence South 100",(Approx .Add. 1811 North 82nd Street),( I ),"Taxes from 2013 thru 2015= $6,039.14"
075350 / BAUT00011  10,600,"The South 1/2 of Lot 17 and all of Lot 18, Block 3, CHELSEA PARK, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1942 North 26th Street),( V ),Taxes from 2012 thru 2015= $322.24
912203 / IBAR00014  10,603,"Lot 7, Block 3, in GIBBS AND PAYNE'S ADDITION TO ARGENTINE, now in and a part of Kansas City, Wyandotte County, Kansas, also commencing at the Northeast corner of Lot 7, Block 3, GIBBS AND PAYNE'S ADDITION TO ARGENTINE, now a part of Kansas City, Wyandotte, Kansas, also commencing at the Northeast corner of Lot 7, Block 3, GIBBS AND PAYNE'S ADDITION TO ARGENTINE, now a part of Kansas City, Wyandotte County, Kansas, thence South 100 feet, thence East 37 1/2 feet, thence North 100 feet, thence West 37 1/2 feet to the point of beginning in the Northeast 1/4 of Section 30, Township 11, Range 25.",(Approx .Add. 3411 Ruby Avenue),( V ),"Taxes from 1989 thru 2015= $5,221.30"
042102 / WILL00847  10,604,"Lot 7, COUNCIL GROVE, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2022 North 86th Terrace),( I ),"Taxes from 2011 thru 2015= $3,398.39"
060612 / WILL00847  10,605,"Lot 4, RUTLEDGE ADDITION, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 4320 Walker Avenue),( I ),"Taxes from 2011 thru 2011= $1,598.98"
068917 / RIVE00038  10,609,"Lot 9, Block 8, CHELSEA PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2213 Franklin Avenue),( I ),"Taxes from 2012 thru 2013= $1,408.96"
223218 / RIVE00038  10,610,"Lot 42, Block 3, McALPINE'S ADDITION to Wyandotte City, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 972 Reynolds Avenue),( I ),Taxes from 2012 thru 2015= $800.69
103240 / TRIG00002  10,612,"The South 15 feet of Lot 2 and the North 15 feet of Lot 3, Block 10, BOSTON PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 14 South Valley Street),( I ),"Taxes from 2009 thru 2015= $4,588.60"
077449 / MARK00028  10,619,"Lots 19 and 20, Block 6, WOODLAWN ADDITION TO KENSINGTON, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1205 North 28th Street),( I ),"Taxes from 2013 thru 2015= $2,092.85"
157705 / MARK00028  10,620,"The North 34 feet of Lot 2, Block 25, WESTERN HIGHLANDS, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2414 North 13th Street),( I ),"Taxes from 2010 thru 2015= $4,138.47"
157706 / MARK00028  10,621,"The South 16 feet of Lot 2 and the North 17 feet of Lot 3, Block 25, WESTERN HIGHLANDS, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2412 North 13th Street),( I ),"Taxes from 2011 thru 2015= $2,568.85"
157707 / MARK00028  10,622,"The South 33 feet of Lot 3, Block 25, WESTERN HIGHLANDS, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2408 North 13th Street),( I ),"Taxes from 2012 thru 2015= $1,309.47"
932317 / MARK00028  10,623,"Beginning at a point 1000.4 feet South of the Northwest corner of Section 5, Township 11, Range 24, in Kansas City, Wyandotte County, Kansas, thence East 767.2 feet, thence South 530.5 feet, thence West 467.25 feet, thence North 505.5 feet, thence West 300 feet, thence North 25 feet to the point of beginning.",(Approx .Add. 1845 North 86th Street),( V ),"Taxes from 2004 thru 2015= $4,761.53"
082119 / WELS00011  10,625,"All of Lot 20, Block 153, WYANDOTTE CITY, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 439 Ann Avenue),( I ),"Taxes from 2012 thru 2012= $1,351.25"
080897 / BANK00055  410,629,"Lots 46 and 47, in Block 125, in WYANDOTTE CITY, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1204 Armstrong Avenue),( I ),"Taxes from 2011 thru 2015= $5,062.38"
916619 / SGKC00001  10,632,"All that part of the Northeast Quarter of Section 1, Township 11, Range 24, described as follows:
Commencing at the Northeast corner of said Quarter Section; thence North 89 degrees 55 minutes 00 seconds West along the North line of said Quarter Section, a distance of 1175.0 feet; thence South 0 degrees 12 minutes 00 seconds West and parallel with the East line of said Quarter Section a distance of 32.52 feet, to a point on the South right & way line of the Eastbound lane of Parallel Avenue, as now established, said point being the TRUE POINT OF BEGINNING of the tract of land, to be herein described; thence due West, along said South right of way line, a distance of 57.63 feet to the point of curve of said right of way line; thence Westerly along said South right of way line, along a curve to the let having a radius of 2831.28 feet, and tangent to the last described course, an arc distance of 87.39 feet, to a point on the line drawn 1320.00 feet West of and parallel to the East line of said Quarter 5ecti�n, as measured along the North line of said Quarter Section; thence South 0 degrees 12 minutes CU seconds West a Wing said parallel line, a distance of 312.42 feet, to a point on the North line of Lot 42, Lea Hills, a subdivision; thence South 89 degrees 55 minutes 00 seconds East along the North line of Lots 42, 43 and 44, In said Subdivision, a distance of 195.00 feet; thence North U degrees 12 minutes 00 seconds East and parallel to the East line of said Quarter Section, a distance of 166.50 feet; thence North 89 degrees 55 minutes 00 seconds West, and parallel to the North line of said Quarter Section, a distance of 50.00 feet; thence North 0 degrees 12 minutes 00 seconds East, and parallel to the East line of said Quarter Section, a distance of 147.48 feet, to the point of beginning, all in Kansas city, Wyandotte County, Kansas.

TRACT B: Easement for the benefit of Tract A as created in Warranty Deed dated September 8, 1976, tiled September 8, 1976, In Book 2524, Page 552 and Document No. 835175, to cut and/or fill slopes over, upon and across adjoining property described as follows: Beginning at the Southeast corner of Tract A, thence in a Northerly direction along the East property line of Tract A, 165.5 feet to a point; thence Easterly, perpendicular to the East property line of Tract A, a distance of 30 feet; thence Southerly, parallel to the East property line of Tract A, 165.5 feet to a point; thence Westerly and parallel to the South property line of Tract A, 30 feet to the point of beginning.
",(Approx .Add. 4815 Parallel Parkway),( C/I ),"Taxes from 2007 thru 2015= $77,169.72"
101934 / JOHN00483  10,645,"Lots 5 and 6, Block 2, A SUBDIVISION OF AN ADDITION TO UNIVERSITY PARK, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3227 & 3231 Rowland Avenue),( I ),"Taxes from 2008 thru 2015= $7,698.75"
070830 / VIVI00006  10,649,"The North 15 feet of Lot 42 and the South 10 feet of Lot 43, Block 4, IVANDALE, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 226 South Ferree Street),( I ),"Taxes from 2013 thru 2015= $2,078.45"
100200 / VIVI00006  10,650,"Lot 2, BLock 6, M E G GERDING GARDENS, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3031 North 32nd Street),( I ),"Taxes from 2013 thru 2015= $2,284.74"
218309 / LANG00032  10,653,"Lot 147, INDIAN WOODS, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 8733 Cleveland Avenue),( I ),"Taxes from 2013 thru 2015= $5,848.20"
218817 / JAME00030  30,654,"Lot 17, MIDDLEMARCH WEST, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3124 South 47th Terrace),( I ),"Taxes from 2010 thru 2015= $18,062.30"
219657 / YATE00008  10,655,"Lot 57, SHENANDOAH, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 8421 New Jersey Avenue),( I ),"Taxes from 2012 thru 2015= $12,598.98"
228736 / REEV00009  130,657,"Lot 3, Block 15, ROCK RIDGE (PHASE 1), according to the Certificate of Survey dated May 17, 1984, filed in Book 3010 at Page 572, a subdivision of land in Edwardsville, Wyandotte County, Kansas.",(Approx .Add. 10140 Steele Road),( I ),"Taxes from 2013 thru 2014= $3,545.86"
066166 / HALL00066  10,665,"Lots 18, 19, and 20, Block 5, CHELSEA, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2500 Freeman Avenue),( I ),"Taxes from 2007 thru 2015= $2,937.43"
066195 / SMIT00308  10,666,"Lots 5 & 6, Block 13, CHELSEA ADDITION, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1427 North 26th Street),( I ),"Taxes from 2012 thru 2015= $3,312.30"
066207 / TRUM00008  10,667,"Lots 21, 22 and 23, Block 7, CHELSEA, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1516 North 26th Street),( I ),"Taxes from 2012 thru 2015= $1,397.93"
066110 / BROW00319  10,668,"All of Lots 6 and 7, Block 11, CHELSEA, a subdivision of land in Kansas City, Wyandotte County, Kansas, also a part of Lot 28, Block 1, CHELSEA ANNEX, a subdivision of land in Kansas City, Wyandotte County, Kansas, described as follows; Commencing at the Northeast corner of Lot 28, Block 1, CHELSEA ANNEX, thence South 27.5 feet, thence West to the intersection of said Lot 28, Block 1, CHELSEA ANNEX with Lot 7, Block 11, CHELSEA, to the point of beginning.",(Approx .Add. 1515 North 23rd Street),( I ),"Taxes from 2008 thru 2015= $6,089.14"
066211 / RAND00059  10,669,"Lot 11 and the North 12 1/2 feet of Lot 12, Block 7, CHELSEA, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1503 North 27th Street),( I ),"Taxes from 2009 thru 2015= $2,426.70"
066317 / SOTO00007  10,670,"The North 33 1/3 feet of Lot 1, Block 4, in RIVERVIEW HEIGHTS, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 88 South 17th Street),( I ),"Taxes from 2011 thru 20112= $2,255.68"
066325 / SCHW00048  10,671,"The South 33.33 feet of Lot 6 and all of Lot 7, Block 3, RIVERVIEW HEIGHTS, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 108 South 16th Street),( I ),"Taxes from 2013 thru 2015= $2,475.63"
069312 / PLAT00017  10,672,"The East 30 feet of Lots 8 and 9, Block 1, BISHOPS ADDITION, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1112 Gilmore Avenue),( I ),"Taxes from 2013 thru 2015= $1,894.60"
069550 / SECU00008  10,675,"Beginning at the Northeast corner of Lot 4, Block 2, MOUNT PANORAMA, a subdivision of land in Kansas City, Wyandotte County, Kansas; thence South to the Southeast corner of said Lot 4, thence Northwesterly along the Southerly line of Lot 4, 22.5 feet, thence Northeasterly to a point 7.5 feet West of the beginning, thence East 705 feet to the point of beginning.",(Approx .Add. 1031 Ridge Avenue),( V ),"Taxes from 1989 thru 2015= $5,573.08"
070029 / FRAN00115,679,"The East 5 feet of Lot 11 and all of Lot 12, in Block 2, WALLACE PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1118 Pacific Avenue),( I ),"Taxes from 2013 thru 2015= $1,561.93"
071012 / RCJW00001  10,682,"The North 1/2 of Lot 17 and the South 3 feet of Lot 18, Block 4, ARMOURDALE HEIGHTS, an addition in and now a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 327 South 11th Street),( I ),"Taxes from 2012 thru 2015= $2,414.73"
071287 / PORT00075  10,684,"Lots 9, 10 and 11, Block 12, in SPLITLOG PARK, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 333 South 10th Street),( C/I ),"Taxes from 2008 thru 2015= $3,964.52"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
